mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car,,,,,
18.0,8,307,130,3504,12.0,70,1,chevrolet chevelle malibu,,,,,
15.0,8,350,165,3693,11.5,70,1,buick skylark 320,,,,,
18.0,8,318,150,3436,11.0,70,1,plymouth satellite,,,,,
16.0,8,304,150,3433,12.0,70,1,amc rebel sst,,,,,
17.0,8,302,140,3449,10.5,70,1,ford torino,,,,,
15.0,8,429,198,4341,10.0,70,1,ford galaxie 500,,,,,
14.0,8,454,220,4354,9.0,70,1,chevrolet impala,,,,,
14.0,8,440,215,4312,8.5,70,1,plymouth fury iii,,,,,
14.0,8,455,225,4425,10.0,70,1,pontiac catalina,,,,,
15.0,8,390,190,3850,8.5,70,1,amc ambassador dpl,,,,,
15.0,8,383,170,3563,10.0,70,1,dodge challenger se,,,,,
14.0,8,340,160,3609,8.0,70,1,plymouth 'cuda 340,,,,,
15.0,8,400,150,3761,9.5,70,1,chevrolet monte carlo,,,,,
14.0,8,455,225,3086,10.0,70,1,buick estate wagon (sw),,,,,
24.0,4,113,95,2372,15.0,70,3,toyota corona mark ii,,,,,
22.0,6,198,95,2833,15.5,70,1,plymouth duster,,,,,
18.0,6,199,97,2774,15.5,70,1,amc hornet,,,,,
21.0,6,200,85,2587,16.0,70,1,ford maverick,,,,,
27.0,4,97,88,2130,14.5,70,3,datsun pl510,,,,,
26.0,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,,,,,
25.0,4,110,87,2672,17.5,70,2,peugeot 504,,,,,
24.0,4,107,90,2430,14.5,70,2,audi 100 ls,,,,,
25.0,4,104,95,2375,17.5,70,2,saab 99e,,,,,
26.0,4,121,113,2234,12.5,70,2,bmw 2002,,,,,
21.0,6,199,90,2648,15.0,70,1,amc gremlin,,,,,
10.0,8,360,215,4615,14.0,70,1,ford f250,,,,,
10.0,8,307,200,4376,15.0,70,1,chevy c20,,,,,
11.0,8,318,210,4382,13.5,70,1,dodge d200,,,,,
9.0,8,304,193,4732,18.5,70,1,hi 1200d,,,,,
27.0,4,97,88,2130,14.5,71,3,datsun pl510,,,,,
28.0,4,140,90,2264,15.5,71,1,chevrolet vega 2300,,,,,
25.0,4,113,95,2228,14.0,71,3,toyota corona,,,,,
25.0,4,98,?,2046,19.0,71,1,ford pinto,,,,,
19.0,6,232,100,2634,13.0,71,1,amc gremlin,,,,,
16.0,6,225,105,3439,15.5,71,1,plymouth satellite custom,,,,,
17.0,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,,,,,
19.0,6,250,88,3302,15.5,71,1,ford torino 500,,,,,
18.0,6,232,100,3288,15.5,71,1,amc matador,,,,,
14.0,8,350,165,4209,12.0,71,1,chevrolet impala,,,,,
14.0,8,400,175,4464,11.5,71,1,pontiac catalina brougham,,,,,
14.0,8,351,153,4154,13.5,71,1,ford galaxie 500,,,,,
