Date,Open,High,Low,Close,Volume,Adj Close
2014-07-08,96.27,96.80,93.92,95.35,65130000,95.35
2014-07-07,94.14,95.99,94.10,95.97,56305400,95.97
2014-07-03,93.67,94.10,93.20,94.03,22891800,94.03
2014-07-02,93.87,94.06,93.09,93.48,28420900,93.48
2014-07-01,93.52,94.07,93.13,93.52,38170200,93.52
2014-06-30,92.10,93.73,92.09,92.93,49482300,92.93
2014-06-27,90.82,92.00,90.77,91.98,64006800,91.98
2014-06-26,90.37,91.05,89.80,90.90,32595800,90.90
2014-06-25,90.21,90.70,89.65,90.36,36852200,90.36
2014-06-24,90.75,91.74,90.19,90.28,38988300,90.28
2014-06-23,91.32,91.62,90.60,90.83,43618200,90.83
2014-06-20,91.85,92.55,90.90,90.91,100813200,90.91
2014-06-19,92.29,92.30,91.34,91.86,35486400,91.86
2014-06-18,92.27,92.29,91.35,92.18,33493800,92.18
2014-06-17,92.31,92.70,91.80,92.08,29689800,92.08
2014-06-16,91.51,92.75,91.45,92.20,35561000,92.20
2014-06-13,92.20,92.44,90.88,91.28,54525000,91.28
2014-06-12,94.04,94.12,91.90,92.29,54749000,92.29
2014-06-11,94.13,94.76,93.47,93.86,45681000,93.86
2014-06-10,94.73,95.05,93.57,94.25,62777000,94.25
2014-06-09,92.70,93.88,91.75,93.70,75415000,93.70
2014-06-06,649.90,651.26,644.47,645.57,87484600,92.22
2014-06-05,646.20,649.37,642.61,647.35,75951400,92.48
2014-06-04,637.44,647.89,636.11,644.82,83870500,92.12
2014-06-03,628.46,638.74,628.25,637.54,73177300,91.08
2014-06-02,633.96,634.83,622.50,628.65,92337700,89.81
2014-05-30,637.98,644.17,628.90,633.00,141005200,90.43
2014-05-29,627.85,636.87,627.77,635.38,94118500,90.77
2014-05-28,626.02,629.83,623.78,624.01,78870400,89.14
2014-05-27,615.88,625.86,615.63,625.63,87216500,89.38
2014-05-23,607.25,614.73,606.47,614.13,58052400,87.73
2014-05-22,606.60,609.85,604.10,607.27,50190000,86.75
2014-05-21,603.83,606.70,602.06,606.31,49214900,86.62
2014-05-20,604.51,606.40,600.73,604.71,58709000,86.39
2014-05-19,597.85,607.33,597.33,604.59,79438800,86.37
2014-05-16,588.63,597.53,585.40,597.51,69064100,85.36
2014-05-15,594.70,596.60,588.04,588.82,57711500,84.12
2014-05-14,592.43,597.40,591.74,593.87,41601000,84.84
2014-05-13,592.00,594.54,590.70,593.76,39934300,84.82
2014-05-12,587.49,593.66,587.40,592.83,53302200,84.69
2014-05-09,584.54,586.25,580.33,585.54,72899400,83.65
2014-05-08,588.25,594.41,586.40,587.99,57574300,84.00
2014-05-07,595.25,597.29,587.73,592.33,70716100,84.15
2014-05-06,601.80,604.41,594.41,594.41,93641100,84.44
2014-05-05,590.14,601.00,590.00,600.96,71766800,85.37
2014-05-02,592.34,594.20,589.71,592.58,47878600,84.18
2014-05-01,592.00,594.80,586.36,591.48,61012000,84.03
2014-04-30,592.64,599.43,589.80,590.09,114160200,83.83
2014-04-29,593.74,595.98,589.51,592.33,84344400,84.15
2014-04-28,572.80,595.75,572.55,594.09,167371400,84.40
2014-04-25,564.53,571.99,563.96,571.94,97568800,81.25
2014-04-24,568.21,570.00,560.73,567.77,189977900,80.66
2014-04-23,529.06,531.13,524.45,524.75,98735000,74.55
2014-04-22,528.31,531.83,526.50,531.70,50640800,75.54
2014-04-21,525.34,532.14,523.96,531.17,45637200,75.46
2014-04-17,520.00,527.76,519.20,524.94,71083600,74.57
2014-04-16,518.05,521.09,514.14,519.01,53691400,73.73
2014-04-15,520.27,521.64,511.33,517.96,66622500,73.58
2014-04-14,521.90,522.16,517.21,521.68,51418500,74.11
2014-04-11,519.00,522.83,517.14,519.61,67929400,73.82
2014-04-10,530.68,532.24,523.17,523.48,59913000,74.37
2014-04-09,522.64,530.49,522.02,530.32,51542400,75.34
2014-04-08,525.19,526.12,518.70,523.44,60972100,74.36
2014-04-07,528.02,530.90,521.89,523.47,72462600,74.37
2014-04-04,539.81,540.00,530.58,531.82,68812800,75.55
2014-04-03,541.39,542.50,537.64,538.79,40586000,76.54
2014-04-02,542.38,543.48,540.26,542.55,45105200,77.08
2014-04-01,537.76,541.87,536.77,541.65,50190000,76.95
2014-03-31,539.23,540.81,535.93,536.74,42167300,76.25
2014-03-28,538.32,538.94,534.25,536.86,50141000,76.27
2014-03-27,540.02,541.50,535.12,537.46,55507900,76.35
2014-03-26,546.52,549.00,538.86,539.78,74942000,76.68
2014-03-25,541.50,545.75,539.59,544.99,70573300,77.42
2014-03-24,538.42,540.50,535.06,539.19,88925200,76.60
2014-03-21,531.93,533.75,526.33,532.87,93511600,75.70
2014-03-20,529.89,532.67,527.35,528.70,52099600,75.11
2014-03-19,532.26,536.24,529.00,531.26,56189000,75.47
2014-03-18,525.90,531.97,525.20,531.40,52411800,75.49
2014-03-17,527.70,529.97,525.85,526.74,49886200,74.83
2014-03-14,528.79,530.89,523.00,524.69,59299800,74.54
2014-03-13,537.44,539.66,529.16,530.65,64435700,75.39
2014-03-12,534.51,537.35,532.00,536.61,49831600,76.23
2014-03-11,535.45,538.74,532.59,536.09,69806100,76.16
2014-03-10,528.36,533.33,528.34,530.92,44646000,75.42
2014-03-07,531.09,531.98,526.05,530.44,55182400,75.36
2014-03-06,532.79,534.44,528.10,530.75,46372200,75.40
2014-03-05,530.92,534.75,529.13,532.36,50015700,75.63
2014-03-04,531.00,532.64,527.77,531.24,64785000,75.47
2014-03-03,523.42,530.65,522.81,527.76,59695300,74.98
2014-02-28,529.08,532.75,522.12,526.24,92992200,74.76
2014-02-27,517.14,528.78,516.05,527.67,75470500,74.96
2014-02-26,523.61,525.00,515.60,517.35,69054300,73.50
2014-02-25,529.38,529.57,521.00,522.06,57988000,74.17
2014-02-24,523.15,529.92,522.42,527.55,72227400,74.95
2014-02-21,532.79,534.57,524.60,525.25,69696200,74.62
2014-02-20,532.99,537.00,529.00,531.15,76464500,75.46
2014-02-19,544.75,546.89,534.35,537.37,78442000,76.34
2014-02-18,546.00,551.19,545.61,545.99,65062900,77.57
2014-02-14,542.47,545.98,541.21,543.99,68231100,77.28
2014-02-13,534.66,544.85,534.20,544.43,76849500,77.34
2014-02-12,536.95,539.56,533.24,535.92,77025200,76.13
2014-02-11,530.61,537.75,529.50,535.96,70564200,76.14
2014-02-10,518.66,531.99,518.00,528.99,86389800,75.15
2014-02-07,521.38,522.93,517.38,519.68,92570100,73.83
2014-02-06,510.06,513.50,507.81,512.51,64441300,72.81
2014-02-05,506.56,515.28,506.25,512.59,82086200,72.39
2014-02-04,505.85,509.46,502.76,508.79,94170300,71.85
2014-02-03,502.61,507.73,499.30,501.53,100366000,70.83
2014-01-31,495.18,501.53,493.55,500.60,116199300,70.69
2014-01-30,502.54,506.50,496.70,499.78,169625400,70.58
2014-01-29,503.95,507.37,498.62,500.75,125702500,70.72
2014-01-28,508.76,515.00,502.07,506.50,266380800,71.53
2014-01-27,550.07,554.80,545.75,550.50,138719700,77.74
2014-01-24,554.00,555.62,544.75,546.07,107338700,77.12
2014-01-23,549.94,556.50,544.81,556.18,100809800,78.54
2014-01-22,550.91,557.29,547.81,551.51,94996300,77.88
2014-01-21,540.99,550.07,540.42,549.07,82131700,77.54
2014-01-17,551.48,552.07,539.90,540.67,106684900,76.35
2014-01-16,554.90,556.85,551.68,554.25,57319500,78.27
2014-01-15,553.52,560.20,551.66,557.36,97909700,78.71
2014-01-14,538.22,546.73,537.66,546.39,83140400,77.16
