Year,Population,Total,Violent,Property,Murder,Forcible_Rape,Robbery,Aggravated_assault,Burglary,Larceny_Theft,Vehicle_Theft
1960,179323175.00,3384200.00,288460.00,3095700.00,9110.00,17190.00,107840.00,154320.00,912100.00,1855400.00,328200.00
1961,182992000.00,3488000.00,289390.00,3198600.00,8740.00,17220.00,106670.00,156760.00,949600.00,1913000.00,336000.00
1962,185771000.00,3752200.00,301510.00,3450700.00,8530.00,17550.00,110860.00,164570.00,994300.00,2089600.00,366800.00
1963,188483000.00,4109500.00,316970.00,3792500.00,8640.00,17650.00,116470.00,174210.00,1086400.00,2297800.00,408300.00
1964,191141000.00,4564600.00,364220.00,4200400.00,9360.00,21420.00,130390.00,203050.00,1213200.00,2514400.00,472800.00
1965,193526000.00,4739400.00,387390.00,4352000.00,9960.00,23410.00,138690.00,215330.00,1282500.00,2572600.00,496900.00
1966,195576000.00,5223500.00,430180.00,4793300.00,11040.00,25820.00,157990.00,235330.00,1410100.00,2822000.00,561200.00
1967,197457000.00,5903400.00,499930.00,5403500.00,12240.00,27620.00,202910.00,257160.00,1632100.00,3111600.00,659800.00
1968,199399000.00,6720200.00,595010.00,6125200.00,13800.00,31670.00,262840.00,286700.00,1858900.00,3482700.00,783600.00
1969,201385000.00,7410900.00,661870.00,6749000.00,14760.00,37170.00,298850.00,311090.00,1981900.00,3888600.00,878500.00
1970,203235298.00,8098000.00,738820.00,7359200.00,16000.00,37990.00,349860.00,334970.00,2205000.00,4225800.00,928400.00
1971,206212000.00,8588200.00,816500.00,7771700.00,17780.00,42260.00,387700.00,368760.00,2399300.00,4424200.00,948200.00
1972,208230000.00,8248800.00,834900.00,7413900.00,18670.00,46850.00,376290.00,393090.00,2375500.00,4151200.00,887200.00
1973,209851000.00,8718100.00,875910.00,7842200.00,19640.00,51400.00,384220.00,420650.00,2565500.00,4347900.00,928800.00
1974,211392000.00,10253400.00,974720.00,9278700.00,20710.00,55400.00,442400.00,456210.00,3039200.00,5262500.00,977100.00
1975,213124000.00,11292400.00,1039710.00,10252700.00,20510.00,56090.00,470500.00,492620.00,3265300.00,5977700.00,1009600.00
1976,214659000.00,11349700.00,1004210.00,10345500.00,18780.00,57080.00,427810.00,500530.00,3108700.00,6270800.00,966000.00
1977,216332000.00,10984500.00,1029580.00,9955000.00,19120.00,63500.00,412610.00,534350.00,3071500.00,5905700.00,977700.00
1978,218059000.00,11209000.00,1085550.00,10123400.00,19560.00,67610.00,426930.00,571460.00,3128300.00,5991000.00,1004100.00
