,total_bill,tip,sex,smoker,day,time,size
0,16.99,1.01,Female,No,Sun,Dinner,2
1,10.34,1.66,Male,No,Sun,Dinner,3
2,21.01,3.5,Male,No,Sun,Dinner,3
3,23.68,3.31,Male,No,Sun,Dinner,2
4,24.59,3.61,Female,No,Sun,Dinner,4
5,25.29,4.71,Male,No,Sun,Dinner,4
6,8.77,2.0,Male,No,Sun,Dinner,2
7,26.88,3.12,Male,No,Sun,Dinner,4
8,15.04,1.96,Male,No,Sun,Dinner,2
9,14.78,3.23,Male,No,Sun,Dinner,2
10,10.27,1.71,Male,No,Sun,Dinner,2
11,35.26,5.0,Female,No,Sun,Dinner,4
12,15.42,1.57,Male,No,Sun,Dinner,2
13,18.43,3.0,Male,No,Sun,Dinner,4
14,14.83,3.02,Female,No,Sun,Dinner,2
15,21.58,3.92,Male,No,Sun,Dinner,2
16,10.33,1.67,Female,No,Sun,Dinner,3
17,16.29,3.71,Male,No,Sun,Dinner,3
18,16.97,3.5,Female,No,Sun,Dinner,3
19,20.65,3.35,Male,No,Sat,Dinner,3
20,17.92,4.08,Male,No,Sat,Dinner,2
21,20.29,2.75,Female,No,Sat,Dinner,2
22,15.77,2.23,Female,No,Sat,Dinner,2
23,39.42,7.58,Male,No,Sat,Dinner,4
24,19.82,3.18,Male,No,Sat,Dinner,2
25,17.81,2.34,Male,No,Sat,Dinner,4
26,13.37,2.0,Male,No,Sat,Dinner,2
27,12.69,2.0,Male,No,Sat,Dinner,2
28,21.7,4.3,Male,No,Sat,Dinner,2
29,19.65,3.0,Female,No,Sat,Dinner,2
30,9.55,1.45,Male,No,Sat,Dinner,2
31,18.35,2.5,Male,No,Sat,Dinner,4
32,15.06,3.0,Female,No,Sat,Dinner,2
33,20.69,2.45,Female,No,Sat,Dinner,4
34,17.78,3.27,Male,No,Sat,Dinner,2
35,24.06,3.6,Male,No,Sat,Dinner,3
36,16.31,2.0,Male,No,Sat,Dinner,3
37,16.93,3.07,Female,No,Sat,Dinner,3
38,18.69,2.31,Male,No,Sat,Dinner,3
39,31.27,5.0,Male,No,Sat,Dinner,3
